encontramos-|nos	encontramos|-nos	encontramo-nos	Calypso|e|encontramos-|nos|em|a
divulgá-|las	divulgá|-las	divulgá-las	,|ao|divulgá-|las|sem|uma
localizá-|lo	localizá|-lo	localizá-lo	foi|possível|localizá-|lo|e|descobrir
coordená-|la	coordená|-la	coordená-la	cotado|para|coordená-|la|é|o
Deve-|se	Deve|-se	Deve-se	Deve-|se|usar|pedras
arriscar-|me	arriscar|-me	arriscar-me	é|para|arriscar-|me|em|a
Entregar-|se	Entregar|-se	Entregar-se	Entregar-|se|,|com
diga-|se	diga|-se	diga-se	história|,|diga-|se|que|o
medi-|lo	medi|-lo	medi-lo	você|tentar|medi-|lo|,|estará
leva-|os	leva|-os	leva-os	escândalos|,|leva-|os|,|também
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|o
tê-|lo	tê|-lo	tê-lo	contente|por|tê-|lo|«|de
incluindo-|se	incluindo|-se	incluindo-se	km/h|,|incluindo-|se|a|espera
encontra-|se	encontra|-se	encontra-se	José|Sarney|encontra-|se|por|o
baseia-|se	baseia|-se	baseia-se	O|cálculo|baseia-|se|em|a
acode-|nos	acode|-nos	acode-nos	Menininha|,|acode-|nos|em|esta
dá-|no	dá|-no	dá-no	desespero|,|dá-|no|o|alimento
deve-|se	deve|-se	deve-se	pesquisa|Datafolha|deve-|se|a|a
encerram-|se	encerram|-se	encerram-se	mês|,|encerram-|se|as|inscrições
submeter-|se	submeter|-se	submeter-se	,|vai|submeter-|se|a|uma
limitou-|se	limitou|-se	limitou-se	O|ministro|limitou-|se|a|dizer
reintegrá-|lo	reintegrá|-lo	reintegrá-lo	ser|para|reintegrá-|lo|em|a
Desculpe-|se	Desculpe|-se	Desculpe-se	Desculpe-|se
esboça-|se	esboça|-se	esboça-se	março|,|esboça-|se|a|mesma
render-|se	render|-se	render-se	um|partido|render-|se|tão|rápida
trata-|se	trata|-se	trata-se	ele|,|trata-|se|de|regime
encontra-|se	encontra|-se	encontra-se	o|México|encontra-|se|em|uma
Tome-|se	Tome|-se	Tome-se	Tome-|se|o|caso
Afirma-|o	Afirma|-o	Afirma-o	Afirma-|o|,|de
aplica-|se	aplica|-se	aplica-se	simples|:|aplica-|se|um|reajuste
avalia-|se	avalia|-se	avalia-se	seguida|,|avalia-|se|qual|a
assustou-|se	assustou|-se	assustou-se	o|ex-presidente|assustou-|se|com|os
aprová-|lo	aprová|-lo	aprová-lo	não|quer|aprová-|lo|agora|,
estendendo-|a	estendendo|-a	estendendo-a	,|e|estendendo-|a|sobre|o
Trata-|se	Trata|-se	Trata-se	«|Trata-|se|de|um
abstraindo-|se	abstraindo|-se	abstraindo-se	Mesmo|abstraindo-|se|tudo|o
deve-|se	deve|-se	deve-se	Mas|deve-|se|tomar|o
estima-|se	estima|-se	estima-se	mercado|,|estima-|se|que|as
aprofundou-|se	aprofundou|-se	aprofundou-se	o|MG|aprofundou-|se|em|o
encontra-|se	encontra|-se	encontra-se	hoje|,|encontra-|se|em|uma
deslocar-|se	deslocar|-se	deslocar-se	é|necessário|deslocar-|se|muito|a
revelaram-|se	revelaram|-se	revelaram-se	,|47|revelaram-|se|positivas|em
acirrou-|se	acirrou|-se	acirrou-se	lado|,|acirrou-|se|a|reação
incluiam-|se	incluiam|-se	incluiam-se	as|quais|incluiam-|se|a|televisão
torna-|se	torna|-se	torna-se	reformas|,|torna-|se|muito|mais
fazê-|los	fazê|-los	fazê-los	mais|difícil|fazê-|los|aprovar|em
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|outra
Somando-|se	Somando|-se	Somando-se	Somando-|se|os|dois
chega-|se	chega|-se	chega-se	números|,|chega-|se|a|500
destacam-|se	destacam|-se	destacam-se	centers|)|destacam-|se|por|a
juntou-|se	juntou|-se	juntou-se	senador|,|juntou-|se|a|o
apanhá-|los	apanhá|-los	apanhá-los	para|eu|apanhá-|los|e|para
verifica-|se	verifica|-se	verifica-se	93|,|verifica-|se|aumento|de
vacinar-|la	vaciná|-la	vaciná-la	,|basta|vacinar-|la|contra|as
fazer-|lo	fazê|-lo	fazê-lo	Como|poderá|fazer-|lo|,|porém
trata-|se	trata|-se	trata-se	vê|,|trata-|se|de|questões
institucionalizou-|se	institucionalizou|-se	institucionalizou-se	politicamente|correto|institucionalizou-|se|,|mas
convidando-|os	convidando|-os	convidando-os	empresas|«|convidando-|os|»|a
destroçar-|la	destroçá|-la	destroçá-la	ou|pode|destroçar-|la|em|o
levou-|o	levou|-o	levou-o	os|EUA|levou-|o|a|conhecer
afiou-|o	afiou|-o	afiou-o	forma|,|afiou-|o|para|a
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|uma
rebelar-|se	rebelar|-se	rebelar-se	pronta|para|rebelar-|se|por|a
fazer-|lo	fazê|-lo	fazê-lo	mas|podem|fazer-|lo|em|rajadas
trocando-|os	trocando|-os	trocando-os	estaduais|,|trocando-|os|por|títulos
pode-|se	pode|-se	pode-se	exemplo|,|pode-|se|entrar|em
desagradá-|la	desagradá|-la	desagradá-la	pessoa|sem|desagradá-|la|em|o
leia-|se	leia|-se	leia-se	o|PFL|leia-|se|ACM|está
Pode-|se	Pode|-se	Pode-se	Pode-|se|dizer|,
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|o
coligou-|se	coligou|-se	coligou-se	PFL|,|coligou-|se|em|torno
tornando-|as	tornando|-as	tornando-as	canções|acaba|tornando-|as|filhotes|de
Tratava-|se	Tratava|-se	Tratava-se	Tratava-|se|de|um
Tratavam-|se	Tratavam|-se	Tratavam-se	Tratavam-|se|de|contribuições
arrastá-|la	arrastá|-la	arrastá-la	termina|por|arrastá-|la|destestavelmente|,
cumprir-|la	cumpri|-la	cumpri-la	de|fato|cumprir-|la
ter-|se	ter|-se	ter-se	depois|de|ter-|se|transformado|em
encerrou-|se	encerrou|-se	encerrou-se	campanha|eleitoral|encerrou-|se|em|a
chama-|se	chama|-se	chama-se	Evening|»|chama-|se|«|I
nomear-|lo	nomeá|-lo	nomeá-lo	acaba|de|nomear-|lo|para|o
chama-|se	chama|-se	chama-se	dança|hoje|chama-|se|«|Central
Inspira-|se	Inspira|-se	Inspira-se	«|Inspira-|se|em|o
apunha-|lhe	apunha|-lhe	apunha-lhe	canção|e|apunha-|lhe|título|e
irritou-|se	irritou|-se	irritou-se	O|técnico|irritou-|se|com|uma
tornar-|se	tornar|-se	tornar-se	rock'n'roll|para|tornar-|se|o|símbolo
deve-|se	deve|-se	deve-se	cassações|,|deve-|se|estimular|as
dando-|lhe	dando|-lhe	dando-lhe	ajuda|,|dando-|lhe|uma|cela
unia-|se	unia|-se	unia-se	URSS|)|unia-|se|contra|o
desconfiava-|se	desconfiava|-se	desconfiava-se	Washington|,|desconfiava-|se|de|Getúlio
aliar-|se	aliar|-se	aliar-se	,|ou|aliar-|se|com|os
libertá-|lo	libertá|-lo	libertá-lo	)|para|libertá-|lo
fala-|se	fala|-se	fala-se	exemplo|,|fala-|se|muito|sobre
citando-|o	citando|-o	citando-o	ser|bacana|citando-|o|como|a
encaixá-|lo	encaixá|-lo	encaixá-lo	Itamar|quis|encaixá-|lo|em|o
detê-|lo	detê|-lo	detê-lo	polícia|em|detê-|lo|como|exemplo
Aventure-|se	Aventure|-se	Aventure-se	Aventure-|se|em|o
queixar-|se	queixar|-se	queixar-se	ontem|para|queixar-|se|de|as
Habite-|se	Habite|-se	Habite-se	Habite-|se
recuperou-|se	recuperou|-se	recuperou-se	mas|logo|recuperou-|se
dão-|se	dão|-se	dão-se	Enchentes|dão-|se|por|o
fala-|se	fala|-se	fala-se	Real|,|fala-|se|de|posições
Trata-|se	Trata|-se	Trata-se	Trata-|se|,|segundo
quebrar-|lo	quebrá|-lo	quebrá-lo	de|«|quebrar-|lo|»|com
convencê-|los	convencê|-los	convencê-los	e|a|convencê-|los|de|fazer
Passaram-|se	Passaram|-se	Passaram-se	Passaram-|se|uns|50
atendê-|los	atendê|-los	atendê-los	conta|de|atendê-|los
confirma-|se	confirma|-se	confirma-se	)|,|confirma-|se|que|os
promovendo-|se	promovendo|-se	promovendo-se	drogas|,|promovendo-|se|um|comportamento
Iniciei-|me	Iniciei|-me	Iniciei-me	Iniciei-|me|com|uma
dediquei-|me	dediquei|-me	dediquei-me	,|e|dediquei-|me|com|carinho
segui-|lhe	segui|-lhe	segui-lhe	France|2|segui-|lhe|os|passos
saldaram-|se	saldaram|-se	saldaram-se	os|resultados|saldaram-|se|por|um
explica-|se	explica|-se	explica-se	a|empresa|explica-|se|,|em
escusou-|se	escusou|-se	escusou-se	Estrangeiros|português|escusou-|se|a|ser
transformarem-|se	transformarem|-se	transformarem-se	Tomates|a|transformarem-|se|em|a
Veja-|se	Veja|-se	Veja-se	Veja-|se|,|a
privilegia-|se	privilegia|-se	privilegia-se	prática|,|privilegia-|se|as|intervenções
ilustrá-|lo	ilustrá|-lo	ilustrá-lo	A|ilustrá-|lo|o|exemplo
causa-|me	causa|-me	causa-me	«|Pessoalmente|causa-|me|alguma|perplexidade
debruçar-|se	debruçar|-se	debruçar-se	levado|a|debruçar-|se|e|espreitar
mostram-|nos	mostram|-nos	mostram-nos	fim|,|mostram-|nos|esculturas|que
Acabou-|se	Acabou|-se	Acabou-se	Acabou-|se|a|gestão
mobilizar-|se	mobilizar|-se	mobilizar-se	a|sociedade|mobilizar-|se|para|sensibilizar
